date,ice_cream_type,topping,location,date_year,date_month,date_day
2021-01-01,1,1,1,2021.0,0.0,0.0
2021-01-01,2,1,2,2021.0,0.0,0.0
2021-01-01,1,2,2,2021.0,0.0,0.0
2021-01-01,3,1,1,2021.0,0.0,0.0
2021-01-01,1,2,2,2021.0,0.0,0.0
2021-01-01,1,2,2,2021.0,0.0,0.0
2021-01-01,1,1,1,2021.0,0.0,0.0
2021-01-02,1,1,1,2021.0,0.0,1.0
2021-01-02,3,3,1,2021.0,0.0,1.0
2021-01-02,3,2,2,2021.0,0.0,1.0
2021-01-02,2,3,2,2021.0,0.0,1.0
2021-01-02,2,3,2,2021.0,0.0,1.0
2021-01-02,3,1,1,2021.0,0.0,1.0
2021-01-02,1,2,2,2021.0,0.0,1.0
